comparison_type	left_target_label	left_biosample_term_name	left_experiment_accession	left_selected_file_accession	right_target_label	right_biosample_term_name	right_experiment_accession	right_selected_file_accession	region_class	left_peak_count	right_peak_count	left_fraction	right_fraction	delta_fraction	abs_delta_fraction	left_percent	right_percent	delta_percent	abs_delta_percent
sample_same_target_diff_biosample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	CDS	6039	15958	0.03784	0.087468	0.049628	0.049628	3.784	8.7468	4.9628	4.9628
sample_same_target_diff_biosample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	exon	5028	6766	0.031505	0.037085	0.00558	0.00558	3.1505	3.7085	0.558	0.558
sample_same_target_diff_biosample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	five_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample_same_target_diff_biosample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	gene	1300	1495	0.008146	0.008194	4.8e-05	4.8e-05	0.8146	0.8194	0.0048	0.0048
sample_same_target_diff_biosample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	intergenic	121	180	0.000758	0.000987	0.000229	0.000229	0.0758	0.0987	0.0229	0.0229
sample_same_target_diff_biosample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	intron	129082	129168	0.808815	0.707987	-0.100828	0.100828	80.8815	70.7987	-10.0828	10.0828
sample_same_target_diff_biosample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	three_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample_same_target_diff_biosample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	utr	18024	28877	0.112937	0.158279	0.045342	0.045342	11.2937	15.8279	4.5342	4.5342
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	CDS	9519	23051	0.059309	0.21442	0.155111	0.155111	5.9309	21.442	15.5111	15.5111
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	4261	2825	0.026549	0.026278	-0.000271	0.000271	2.6549	2.6278	-0.0271	0.0271
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	five_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	1944	570	0.012112	0.005302	-0.00681	0.00681	1.2112	0.5302	-0.681	0.681
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic	81	64	0.000505	0.000595	9e-05	9e-05	0.0505	0.0595	0.009	0.009
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intron	128984	67905	0.803649	0.631651	-0.171998	0.171998	80.3649	63.1651	-17.1998	17.1998
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	three_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	15709	13089	0.097877	0.121754	0.023877	0.023877	9.7877	12.1754	2.3877	2.3877
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	CDS	9519	5231	0.059309	0.124417	0.065108	0.065108	5.9309	12.4417	6.5108	6.5108
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	exon	4261	1568	0.026549	0.037294	0.010745	0.010745	2.6549	3.7294	1.0745	1.0745
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	five_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	gene	1944	521	0.012112	0.012392	0.00028	0.00028	1.2112	1.2392	0.028	0.028
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	intergenic	81	29	0.000505	0.00069	0.000185	0.000185	0.0505	0.069	0.0185	0.0185
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	intron	128984	28404	0.803649	0.675578	-0.128071	0.128071	80.3649	67.5578	-12.8071	12.8071
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	three_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	utr	15709	6291	0.097877	0.149629	0.051752	0.051752	9.7877	14.9629	5.1752	5.1752
