comparison_id	set_name	region_class	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000102901.14	CENPT	4	4	10	ENST00000440851.6;ENST00000562787.6;ENST00000564817.5;ENST00000626059.2;ENST00000899953.1;ENST00000937857.1;ENST00000937858.1;ENST00000969291.1;ENST00000969292.1;ENST00000969293.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000151725.13	CENPU	4	4	2	ENST00000281453.10;ENST00000950880.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000113163.20	CERT1	4	4	22	ENST00000261415.12;ENST00000405807.10;ENST00000642556.1;ENST00000642809.1;ENST00000643158.1;ENST00000643780.2;ENST00000644072.2;ENST00000644445.1;ENST00000644912.1;ENST00000645483.1;ENST00000645866.1;ENST00000646302.1;ENST00000646511.1;ENST00000646713.1;ENST00000863484.1;ENST00000863485.1;ENST00000863486.1;ENST00000863487.1;ENST00000863488.1;ENST00000937616.1;ENST00000957919.1;ENST00000957920.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000158023.11	CFAP251	4	4	6	ENST00000288912.9;ENST00000397454.2;ENST00000880754.1;ENST00000880755.1;ENST00000880756.1;ENST00000969643.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000153922.13	CHD1	4	4	5	ENST00000511067.3;ENST00000614616.5;ENST00000729415.1;ENST00000926040.1;ENST00000926041.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000131778.21	CHD1L	4	4	30	ENST00000361293.10;ENST00000369258.8;ENST00000369259.4;ENST00000431239.6;ENST00000619867.4;ENST00000650714.1;ENST00000650785.1;ENST00000652587.1;ENST00000866229.1;ENST00000866230.1;ENST00000866231.1;ENST00000866232.1;ENST00000866233.1;ENST00000866234.1;ENST00000866235.1;ENST00000866236.1;ENST00000917448.1;ENST00000917449.1;ENST00000917450.1;ENST00000917451.1;ENST00000917452.1;ENST00000917453.1;ENST00000917454.1;ENST00000917455.1;ENST00000917456.1;ENST00000917457.1;ENST00000949387.1;ENST00000949388.1;ENST00000949389.1;ENST00000949390.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000111642.17	CHD4	4	4	26	ENST00000357008.7;ENST00000544040.7;ENST00000544484.6;ENST00000642879.1;ENST00000643335.1;ENST00000644480.2;ENST00000645005.1;ENST00000645022.1;ENST00000645095.1;ENST00000645645.1;ENST00000646806.1;ENST00000931042.1;ENST00000931043.1;ENST00000931044.1;ENST00000931045.1;ENST00000931046.1;ENST00000931047.1;ENST00000931048.1;ENST00000931049.1;ENST00000931050.1;ENST00000931051.1;ENST00000931052.1;ENST00000931053.1;ENST00000957179.1;ENST00000957180.1;ENST00000957181.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000072609.19	CHFR	4	4	53	ENST00000266880.11;ENST00000432561.6;ENST00000443047.6;ENST00000450056.7;ENST00000902527.1;ENST00000902528.1;ENST00000902529.1;ENST00000902530.1;ENST00000902531.1;ENST00000902532.1;ENST00000902533.1;ENST00000902534.1;ENST00000902535.1;ENST00000902536.1;ENST00000902537.1;ENST00000902538.1;ENST00000902539.1;ENST00000902540.1;ENST00000902541.1;ENST00000902542.1;ENST00000902543.1;ENST00000902544.1;ENST00000902545.1;ENST00000902546.1;ENST00000902547.1;ENST00000928594.1;ENST00000928595.1;ENST00000928596.1;ENST00000928597.1;ENST00000928598.1;ENST00000928599.1;ENST00000928600.1;ENST00000928601.1;ENST00000928602.1;ENST00000928603.1;ENST00000928604.1;ENST00000928605.1;ENST00000928606.1;ENST00000928607.1;ENST00000928608.1;ENST00000928609.1;ENST00000928610.1;ENST00000970962.1;ENST00000970963.1;ENST00000970964.1;ENST00000970965.1;ENST00000970966.1;ENST00000970967.1;ENST00000970968.1;ENST00000970969.1;ENST00000970970.1;ENST00000970971.1;ENST00000970972.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000160679.14	CHTOP	4	4	7	ENST00000368686.2;ENST00000368687.1;ENST00000368690.7;ENST00000368694.8;ENST00000403433.5;ENST00000614256.4;ENST00000710369.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	ENSG00000114737.17	CISH	4	4	3	ENST00000348721.4;ENST00000443053.6;ENST00000864813.1
