comparison_id	set_name	region_class	gene_rank	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids	peak_hit_fraction_within_set
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	16	ENSG00000163631.20	ALB	24	24	53	ENST00000295897.9;ENST00000401494.7;ENST00000415165.6;ENST00000503124.5;ENST00000509063.5;ENST00000876006.1;ENST00000876007.1;ENST00000876008.1;ENST00000876009.1;ENST00000876010.1;ENST00000876011.1;ENST00000876012.1;ENST00000876013.1;ENST00000876014.1;ENST00000876015.1;ENST00000876016.1;ENST00000876017.1;ENST00000876018.1;ENST00000876019.1;ENST00000876020.1;ENST00000876021.1;ENST00000876022.1;ENST00000876023.1;ENST00000876024.1;ENST00000876025.1;ENST00000876026.1;ENST00000876027.1;ENST00000876028.1;ENST00000876029.1;ENST00000876030.1;ENST00000876031.1;ENST00000876032.1;ENST00000876033.1;ENST00000876034.1;ENST00000876035.1;ENST00000876036.1;ENST00000876037.1;ENST00000876038.1;ENST00000876039.1;ENST00000876040.1;ENST00000876041.1;ENST00000876042.1;ENST00000876043.1;ENST00000876044.1;ENST00000876045.1;ENST00000876046.1;ENST00000876047.1;ENST00000876048.1;ENST00000876049.1;ENST00000876050.1;ENST00000876051.1;ENST00000876052.1;ENST00000944004.1	0.003297
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	17	ENSG00000115760.16	BIRC6	22	22	3	ENST00000421745.7;ENST00000700518.1;ENST00000700519.1	0.003022
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	18	ENSG00000182871.17	COL18A1	22	22	27	ENST00000355480.10;ENST00000359759.8;ENST00000651438.1;ENST00000859059.1;ENST00000859060.1;ENST00000859061.1;ENST00000859062.1;ENST00000859063.1;ENST00000859064.1;ENST00000859065.1;ENST00000859066.1;ENST00000859067.1;ENST00000859068.1;ENST00000859069.1;ENST00000930594.1;ENST00000930595.1;ENST00000930596.1;ENST00000930597.1;ENST00000930598.1;ENST00000930599.1;ENST00000930600.1;ENST00000930601.1;ENST00000930602.1;ENST00000970097.1;ENST00000970098.1;ENST00000970099.1;ENST00000970100.1	0.003022
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	19	ENSG00000152818.20	UTRN	22	22	3	ENST00000367524.8;ENST00000367526.8;ENST00000367545.8	0.003022
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	20	ENSG00000189056.15	RELN	20	20	3	ENST00000343529.9;ENST00000424685.3;ENST00000428762.6	0.002748
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	1	ENSG00000155093.20	PTPRN2	1259	1259	5	ENST00000389413.7;ENST00000389416.8;ENST00000389418.9;ENST00000409483.5;ENST00000436151.5	0.013235
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	2	ENSG00000148655.16	LRMDA	599	599	3	ENST00000372499.5;ENST00000496424.2;ENST00000611255.5	0.006297
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	3	ENSG00000182621.19	PLCB1	592	592	8	ENST00000338037.11;ENST00000378637.6;ENST00000378641.7;ENST00000404098.6;ENST00000441231.2;ENST00000451443.1;ENST00000629992.2;ENST00000637919.1	0.006223
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	4	ENSG00000162105.22	SHANK2	481	481	12	ENST00000338508.9;ENST00000409161.5;ENST00000412252.6;ENST00000601538.6;ENST00000656230.1;ENST00000659264.1;ENST00000663650.1;ENST00000715742.1;ENST00000916035.1;ENST00000916036.1;ENST00000916037.1;ENST00000916038.1	0.005056
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	5	ENSG00000151276.24	MAGI1	410	410	8	ENST00000330909.12;ENST00000402939.7;ENST00000460754.1;ENST00000472514.1;ENST00000483466.5;ENST00000497477.6;ENST00000611645.4;ENST00000621418.4	0.00431
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	6	ENSG00000147257.17	GPC3	393	393	7	ENST00000370818.8;ENST00000394299.7;ENST00000631057.2;ENST00000689310.1;ENST00000911059.1;ENST00000925126.1;ENST00000925127.1	0.004131
