file_accession	experiment_accession	file_format	output_type	assembly	biological_replicates	technical_replicates	download_url
ENCFF979RKC	ENCSR584TCR	bigWig	minus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF979RKC/@@download/ENCFF979RKC.bigWig
ENCFF022DCK	ENCSR584TCR	bigBed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF022DCK/@@download/ENCFF022DCK.bigBed
ENCFF037TVC	ENCSR584TCR	bed	peaks	GRCh38	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF037TVC/@@download/ENCFF037TVC.bed.gz
ENCFF118WWO	ENCSR584TCR	bigBed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF118WWO/@@download/ENCFF118WWO.bigBed
ENCFF259NLI	ENCSR584TCR	bed	peaks	hg19	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF259NLI/@@download/ENCFF259NLI.bed.gz
ENCFF333KPU	ENCSR584TCR	bed	peaks	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF333KPU/@@download/ENCFF333KPU.bed.gz
ENCFF392HLM	ENCSR584TCR	bigBed	peaks	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF392HLM/@@download/ENCFF392HLM.bigBed
ENCFF393WWU	ENCSR584TCR	bigBed	peaks	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF393WWU/@@download/ENCFF393WWU.bigBed
ENCFF606RXB	ENCSR584TCR	bed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF606RXB/@@download/ENCFF606RXB.bed.gz
ENCFF669TNM	ENCSR584TCR	bed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF669TNM/@@download/ENCFF669TNM.bed.gz
ENCFF697CMV	ENCSR584TCR	bed	peaks	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF697CMV/@@download/ENCFF697CMV.bed.gz
ENCFF435YMY	ENCSR584TCR	bigWig	plus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF435YMY/@@download/ENCFF435YMY.bigWig
ENCFF450IVA	ENCSR584TCR	bigWig	plus strand signal of unique reads	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF450IVA/@@download/ENCFF450IVA.bigWig
ENCFF569LQN	ENCSR584TCR	bigWig	plus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF569LQN/@@download/ENCFF569LQN.bigWig
ENCFF619APF	ENCSR584TCR	bigWig	plus strand signal of unique reads	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF619APF/@@download/ENCFF619APF.bigWig
ENCFF147JYD	ENCSR584TCR	fastq	reads		1	1_1	https://www.encodeproject.org/files/ENCFF147JYD/@@download/ENCFF147JYD.fastq.gz
ENCFF218BOC	ENCSR584TCR	fastq	reads		2	2_1	https://www.encodeproject.org/files/ENCFF218BOC/@@download/ENCFF218BOC.fastq.gz
ENCFF661TYX	ENCSR584TCR	fastq	reads		2	2_1	https://www.encodeproject.org/files/ENCFF661TYX/@@download/ENCFF661TYX.fastq.gz
ENCFF734UEC	ENCSR584TCR	fastq	reads		1	1_1	https://www.encodeproject.org/files/ENCFF734UEC/@@download/ENCFF734UEC.fastq.gz
ENCFF748KMS	ENCSR720BJU	bam	alignments	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF748KMS/@@download/ENCFF748KMS.bam
ENCFF862SNV	ENCSR720BJU	bam	alignments	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF862SNV/@@download/ENCFF862SNV.bam
ENCFF003HLV	ENCSR720BJU	bigWig	minus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF003HLV/@@download/ENCFF003HLV.bigWig
ENCFF518YAZ	ENCSR720BJU	bigWig	minus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF518YAZ/@@download/ENCFF518YAZ.bigWig
ENCFF164XWU	ENCSR720BJU	bigBed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF164XWU/@@download/ENCFF164XWU.bigBed
ENCFF196UFB	ENCSR720BJU	bigBed	peaks	GRCh38	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF196UFB/@@download/ENCFF196UFB.bigBed
ENCFF265XPM	ENCSR720BJU	bed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF265XPM/@@download/ENCFF265XPM.bed.gz
ENCFF381KTD	ENCSR720BJU	bed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF381KTD/@@download/ENCFF381KTD.bed.gz
ENCFF593RED	ENCSR720BJU	bed	peaks	GRCh38	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF593RED/@@download/ENCFF593RED.bed.gz
ENCFF720KXG	ENCSR720BJU	bigBed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF720KXG/@@download/ENCFF720KXG.bigBed
ENCFF214TBL	ENCSR720BJU	bigWig	plus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF214TBL/@@download/ENCFF214TBL.bigWig
ENCFF848FSN	ENCSR720BJU	bigWig	plus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF848FSN/@@download/ENCFF848FSN.bigWig
ENCFF673VEJ	ENCSR720BJU	fastq	reads		1	1_1	https://www.encodeproject.org/files/ENCFF673VEJ/@@download/ENCFF673VEJ.fastq.gz
ENCFF679SNJ	ENCSR720BJU	fastq	reads		2	2_1	https://www.encodeproject.org/files/ENCFF679SNJ/@@download/ENCFF679SNJ.fastq.gz
ENCFF195OTD	ENCSR720BJU	tsv	transcript quantifications	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF195OTD/@@download/ENCFF195OTD.tsv
ENCFF909NAM	ENCSR720BJU	tsv	transcript quantifications	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF909NAM/@@download/ENCFF909NAM.tsv
ENCFF198BGK	ENCSR720BJU	bam	unfiltered alignments	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF198BGK/@@download/ENCFF198BGK.bam
ENCFF946DDI	ENCSR720BJU	bam	unfiltered alignments	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF946DDI/@@download/ENCFF946DDI.bam
ENCFF198ISB	ENCSR828ZID	bam	alignments	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF198ISB/@@download/ENCFF198ISB.bam
ENCFF329QRR	ENCSR828ZID	bam	alignments	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF329QRR/@@download/ENCFF329QRR.bam
ENCFF457EXY	ENCSR828ZID	bam	alignments	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF457EXY/@@download/ENCFF457EXY.bam
ENCFF553XCL	ENCSR828ZID	bam	alignments	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF553XCL/@@download/ENCFF553XCL.bam
ENCFF073VAO	ENCSR828ZID	bigWig	minus strand signal of unique reads	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF073VAO/@@download/ENCFF073VAO.bigWig
ENCFF234AEU	ENCSR828ZID	bigWig	minus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF234AEU/@@download/ENCFF234AEU.bigWig
ENCFF494CVZ	ENCSR828ZID	bigWig	minus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF494CVZ/@@download/ENCFF494CVZ.bigWig
ENCFF608OWA	ENCSR828ZID	bigWig	minus strand signal of unique reads	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF608OWA/@@download/ENCFF608OWA.bigWig
ENCFF052YOQ	ENCSR828ZID	bigBed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF052YOQ/@@download/ENCFF052YOQ.bigBed
ENCFF159LAW	ENCSR828ZID	bigBed	peaks	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF159LAW/@@download/ENCFF159LAW.bigBed
ENCFF288MWL	ENCSR828ZID	bed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF288MWL/@@download/ENCFF288MWL.bed.gz
ENCFF556EBT	ENCSR828ZID	bed	peaks	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF556EBT/@@download/ENCFF556EBT.bed.gz
ENCFF754XAQ	ENCSR828ZID	bed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF754XAQ/@@download/ENCFF754XAQ.bed.gz
ENCFF855CPQ	ENCSR828ZID	bed	peaks	GRCh38	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF855CPQ/@@download/ENCFF855CPQ.bed.gz
ENCFF861DAK	ENCSR828ZID	bigBed	peaks	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF861DAK/@@download/ENCFF861DAK.bigBed
ENCFF877KBJ	ENCSR828ZID	bed	peaks	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF877KBJ/@@download/ENCFF877KBJ.bed.gz
ENCFF887CFI	ENCSR828ZID	bigBed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF887CFI/@@download/ENCFF887CFI.bigBed
ENCFF993NVI	ENCSR828ZID	bed	peaks	hg19	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF993NVI/@@download/ENCFF993NVI.bed.gz
ENCFF078NBU	ENCSR828ZID	bigWig	plus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF078NBU/@@download/ENCFF078NBU.bigWig
ENCFF147EIS	ENCSR828ZID	bigWig	plus strand signal of unique reads	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF147EIS/@@download/ENCFF147EIS.bigWig
ENCFF404YRY	ENCSR828ZID	bigWig	plus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF404YRY/@@download/ENCFF404YRY.bigWig
ENCFF689WRD	ENCSR828ZID	bigWig	plus strand signal of unique reads	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF689WRD/@@download/ENCFF689WRD.bigWig
ENCFF016HQT	ENCSR828ZID	fastq	reads		1	1_1	https://www.encodeproject.org/files/ENCFF016HQT/@@download/ENCFF016HQT.fastq.gz
ENCFF118YMC	ENCSR828ZID	fastq	reads		2	2_1	https://www.encodeproject.org/files/ENCFF118YMC/@@download/ENCFF118YMC.fastq.gz
