target_label	biosample_term_name	experiment_accession	selected_file_accession	n_peaks	n_five_prime_utr	n_three_prime_utr	n_utr	n_CDS	n_exon	n_intron	n_gene	n_intergenic	frac_five_prime_utr	frac_three_prime_utr	frac_utr	frac_CDS	frac_exon	frac_intron	frac_gene	frac_intergenic	pct_five_prime_utr	pct_three_prime_utr	pct_utr	pct_CDS	pct_exon	pct_intron	pct_gene	pct_intergenic	non_intergenic_fraction	non_intergenic_percent
HNRNPK				342038	0	0	46901	21997	11794	258250	2795	301	0.0	0.0	0.137122	0.064312	0.034482	0.755033	0.008172	0.00088	0.0	0.0	13.7122	6.4312	3.4482	75.5033	0.8172	0.088	0.99912	99.912
TARDBP				310046	0	0	35089	37801	8654	225293	3035	174	0.0	0.0	0.113174	0.121921	0.027912	0.726644	0.009789	0.000561	0.0	0.0	11.3174	12.1921	2.7912	72.6644	0.9789	0.0561	0.999439	99.9439
