target_label	biosample_term_name	experiment_accession	selected_file_accession	n_peaks	n_five_prime_utr	n_three_prime_utr	n_utr	n_CDS	n_exon	n_intron	n_gene	n_intergenic	frac_five_prime_utr	frac_three_prime_utr	frac_utr	frac_CDS	frac_exon	frac_intron	frac_gene	frac_intergenic	pct_five_prime_utr	pct_three_prime_utr	pct_utr	pct_CDS	pct_exon	pct_intron	pct_gene	pct_intergenic	non_intergenic_fraction	non_intergenic_percent
	HepG2			320092	0	0	33733	15558	9289	258066	3244	202	0.0	0.0	0.105385	0.048605	0.02902	0.806224	0.010135	0.000631	0.0	0.0	10.5385	4.8605	2.902	80.6224	1.0135	0.0631	0.999369	99.9369
	K562			331992	0	0	48257	44240	11159	225477	2586	273	0.0	0.0	0.145356	0.133256	0.033612	0.679164	0.007789	0.000822	0.0	0.0	14.5356	13.3256	3.3612	67.9164	0.7789	0.0822	0.999178	99.9178
